Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
95,"M Linares-Vásquez, A Holtzhauer…","Revisiting android reuse studies in the context of code obfuscation and library usages",2014,"… Software Repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2597073.2597109","https://scholar.google.com/scholar?cites=14600321757632131862&as_sdt=2005&sciodt=2007&hl=en",23,"2022-09-05 09:31:27","","10.1145/2597073.2597109","","",,,,,95,11.88,32,3,8,"In the recent years, studies of design and programming practices in mobile development are gaining more attention from researchers. Several such empirical studies used Android …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.645.6899&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:FvMRYkjDnsoJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
269,"M Linares-Vásquez, G Bavota…","Mining energy-greedy api usage patterns in android apps: an empirical study",2014,"… software repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2597073.2597085","https://scholar.google.com/scholar?cites=2881851734788217585&as_sdt=2005&sciodt=2007&hl=en",24,"2022-09-05 09:31:27","","10.1145/2597073.2597085","","",,,,,269,33.63,90,3,8,"… Replication package. All the data used in our study are publicly available online [26]. In particular, we provide (i) the list of the apps and their versions, (ii) the scenarios we used for …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.645.1642&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:8RplU-Jk_icJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
125,"G Bavota, B Russo","A large-scale empirical study on self-admitted technical debt",2016,"… conference on mining software repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2901739.2901742","https://scholar.google.com/scholar?cites=15661061581903266676&as_sdt=2005&sciodt=2007&hl=en",25,"2022-09-05 09:31:27","","10.1145/2901739.2901742","","",,,,,125,20.83,63,2,6,"Technical debt is a metaphor introduced by Cunningham to indicate"" not quite right code which we postpone making it right"". Examples of technical debt are code smells and bug …","","https://scholar.google.com/scholar?q=related:dIPcaohEV9kJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
4,"F Santos, I Wiese, B Trinkenreich…","Can i solve it? Identifying APIs required to complete OSS tasks",2021,"… on Mining Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463078/","https://scholar.google.com/scholar?cites=8018071001764371691&as_sdt=2005&sciodt=2007&hl=en",26,"2022-09-05 09:31:27","","","","",,,,,4,4.00,1,4,1,"… The artifacts used in this phase are also part of the replication package. 1) Participants: We recruited participants from both industry and academia. We reached out to our own students …","https://arxiv.org/pdf/2103.12653","https://scholar.google.com/scholar?q=related:65wGNBjpRW8J:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
7,"M Albonico, I Malavolta, G Pinto…","Mining energy-related practices in robotics software",2021,"… on Mining Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463077/","https://scholar.google.com/scholar?cites=17557580386314912966&as_sdt=2005&sciodt=2007&hl=en",27,"2022-09-05 09:31:27","","","","",,,,,7,7.00,2,4,1,"… For the sake of space, the data extractors are detailed in our replication package, together with their source code and a complete dump of the MongoDB database [6]. The dataset …","https://arxiv.org/pdf/2103.13762","https://scholar.google.com/scholar?q=related:xoSqWVYOqfMJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
0,"J Musseau, JS Meyers, GP Sieniawski…","Is Open Source Eating the World's Software? Measuring the Proportion of Open Source in Proprietary Software Using Java Binaries",2022,"… on Mining Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9796295/","",28,"2022-09-05 09:31:27","","","","",,,,,0,0.00,0,4,1,"… The complete list of 3,600,000+ distinct FQNs we extracted from Maven-Central is included in our replication package inside the file ""names.uniq.gz"". This list also includes all FQNs …","",""
23,"Y Ma, S Fakhoury, M Christensen…","Automatic classification of software artifacts in open-source applications",2018,"… on Mining Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8595225/","https://scholar.google.com/scholar?cites=8466971589080741786&as_sdt=2005&sciodt=2007&hl=en",29,"2022-09-05 09:31:27","","","","",,,,,23,5.75,6,4,4,"… The complete list of features can be found in our online replication package. Based on the in-depth analysis and manual classification of 894 artifacts, the following conclusion was …","https://rex.libraries.wsu.edu/esploro/fulltext/graduate/Automatic-classification-of-software-artifacts-in/99900525187401842?repId=12338026250001842&mId=13338226490001842&institution=01ALLIANCE_WSU","https://scholar.google.com/scholar?q=related:mnd74sy5gHUJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
13,"X Jin, F Servant","The hidden cost of code completion: Understanding the impact of the recommendation-list length on its efficiency",2018,"… Conference on Mining Software Repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3196398.3196474","https://scholar.google.com/scholar?cites=1213782355949484050&as_sdt=2005&sciodt=2007&hl=en",30,"2022-09-05 09:31:27","","10.1145/3196398.3196474","","",,,,,13,3.25,7,2,4,"Automatic code completion is a useful and popular technique that software developers use to write code more effectively and efficiently. However, while the benefits of code completion …","https://people.cs.vt.edu/xianhao8/2018_msrch_xianhao.pdf","https://scholar.google.com/scholar?q=related:EngBMZ842BAJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
1,"P Sri-Iesaranusorn, RG Kula…","Does Code Review Promote Conformance? A Study of OpenStack Patches",2021,"… Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463066/","https://scholar.google.com/scholar?cites=15457969230215015879&as_sdt=2005&sciodt=2007&hl=en",31,"2022-09-05 09:31:27","","","","",,,,,1,1.00,0,3,1,"Code Review plays a crucial role in software quality, by allowing reviewers to discuss and critique any new patches before they can be successfully integrated into the project code. Yet, …","https://arxiv.org/pdf/2103.08595","https://scholar.google.com/scholar?q=related:x23icx29hdYJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
6,"I Malavolta, K Chinnappan, S Swanborn…","Mining the ROS ecosystem for green architectural tactics in robotics and an empirical evaluation",2021,"… on Mining Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463098/","https://scholar.google.com/scholar?cites=17570803303147744350&as_sdt=2005&sciodt=2007&hl=en",32,"2022-09-05 09:31:27","","","","",,,,,6,6.00,2,4,1,"… To foster independent verification and replication, a full replication package of this study is … The full set is available in the replication package. Three researchers are involved in this step …","https://www.researchgate.net/profile/Ivano-Malavolta/publication/350994596_Mining_the_ROS_ecosystem_for_Green_Architectural_Tactics_in_Robotics_and_an_Empirical_Evaluation/links/607e8f3f2fb9097c0cf760d3/Mining-the-ROS-ecosystem-for-Green-Architectural-Tactics-in-Robotics-and-an-Empirical-Evaluation.pdf","https://scholar.google.com/scholar?q=related:XqxhloII2PMJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
